content_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,content_order,text_exact,content_area_candidate,explicit_terms,source_file,confidence,notes
OMA071_v01_CONTENT_001,OMA071_CONTENT_001,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,1,+ fysiologi och etiologi relaterat till organsvikt,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_002,OMA071_CONTENT_002,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,2,+ farmakologi och läkemedelsräkning,läkemedel/farmakologi,läkemedelsräkning; farmakologi,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_003,OMA071_CONTENT_003,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,3,Mipe:ledu nig selocs/svsykabuabourse/ OMADT 1 Tvakd-tom=2025-01-20 24,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_004,OMA071_CONTENT_004,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,4,-- OCR page 3 ---,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_005,OMA071_CONTENT_005,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,5,"+ medicinsk teknik, gas- och ellära",missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_006,OMA071_CONTENT_006,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,6,+ anestesisjuksköterskans kompetens- och ansvarsområde,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_007,OMA071_CONTENT_007,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,7,+ personcentrerad omvårdnad under den perioperativa vården,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_008,OMA071_CONTENT_008,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,8,+ omhändertagande vid akuta tillstånd/sjukdomar,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_009,OMA071_CONTENT_009,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,9,"+ vårdhygien, vårdrelaterade infektioner och antibiotikaresistens",vårdhygien,vårdhygien; antibiotikaresistens,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_010,OMA071_CONTENT_010,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,10,+ klinisk färdighetsträning i A-E och luftvägshantering,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_011,OMA071_CONTENT_011,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,11,"+ etiologi, patofysiologi, diagnostik och behandling vid specifika",missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_012,OMA071_CONTENT_012,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,12,sjukdomstillstånd,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_013,OMA071_CONTENT_013,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,13,+ specifik farmakologi,läkemedel/farmakologi,farmakologi,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_014,OMA071_CONTENT_014,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,14,"+ vätske, blod- och elektrolytbalans",missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
